Animal Type,Sub-Type,Breed,Age,Age Group,Gender,Disease,Disease_Code,Critical,Severity,Duration (days),Expected_Recovery_Time (days),Symptoms,Is_Vaccinated,Reported_By,Cause of Disease,Precautions,Care,Home Remedies,Treatment/Medicine,Critical_Symptom_1,Critical_Symptom_2,Critical_Symptom_3,Critical_Symptom_4,Critical_Symptom_5,Critical_Symptom_6
Goat,Common,Malabari,5.6,Adult,Female,CCPP,14,False,1,10.0,13,"['Severe cough', 'Fever', 'Anorexia', 'Labored breathing', 'Prostration']",False,Farmer,Mycoplasma capricolum subsp. capripneumoniae,Implement strict biosecurity and avoid mixing with unknown herds.,Provide warm shelter and soft food during treatment.,Use steam inhalation with medicinal herbs.,"Administer macrolide antibiotics like Tylosin, provide NSAIDs, and isolate the infected animal.",,,,,,
Goat,Common,Malabari,7.2,Adult,Male,Anaplasmosis,27,False,1,11.0,14,"['Weight loss', 'Aggression', 'Fever', 'Anemia', 'Lethargy and Weakness', 'Unable to stand']",True,Veterinarian,Anaplasma ovis/marginale,Control ticks and avoid shared needles during injections.,Offer easily digestible feed and adequate hydration.,Apply neem-based tick repellents.,Administer oxytetracycline and provide supportive therapy.,,,,,,
Cattle,Cow,Hallikar,6.7,Adult,Female,Ketosis,28,False,1,6.0,15,"['Weight loss', 'Weakness', 'Loss of appetite', 'Acetone breath', 'Inability to Stand', 'Neurological Signs']",False,Para-vet,Energy imbalance during late pregnancy or early lactation,Balance dietary energy levels during late gestation and lactation.,Offer small frequent meals and reduce stress during recovery.,Provide jaggery water or molasses to increase energy intake.,Provide oral propylene glycol and administer IV glucose if necessary.,,,,,,
Goat,Common,Jakhrana,5.1,Adult,Male,Blue Tongue,16,False,1,12.0,6,"['Blue tongue', 'Inability to stand', 'Facial swelling', 'Fever', 'Severe respiratory distress', 'Oral ulcers']",True,Veterinarian,Bluetongue virus transmitted by Culicoides midges,Use insect repellents and avoid grazing during midge activity.,"Provide soft, palatable food and ensure hydration.",Apply aloe vera paste for soothing oral ulcers.,"Provide supportive therapy, fluid administration, and implement insect control measures.",,,,,,
Goat,Common,Barbari,3.6,Adult,Male,Bloat,8,False,1,5.0,13,"['Decreased appetite', 'Weakness', 'Restlessness', 'Left‑side abdominal swelling', 'Staggering', 'Sudden collapse and Death']",True,Para-vet,"Excess lush pasture, high grain intake, rumen gas buildup",Avoid sudden introduction to lush pasture and regulate grain feeding.,Keep the animal calm and provide supportive care until gas release occurs.,Provide vegetable oil drench and allow neem stick chewing.,Administer antifoaming agents and perform trocarization or rumenotomy if necessary.,,,,,,
Goat,Common,Barbari,1.1,Young,Male,Hemorrhagic Septicemia,39,False,1,10.0,13,"['High fever', 'Respiratory distress', 'Recumbency', 'Swelling of throat/jaw']",True,Veterinarian,Pasteurella multocida,Vaccinate regularly before monsoon and avoid overcrowding.,Provide fluids and ensure proper nursing care.,Keep animals in a warm and dry shelter.,"Administer appropriate antibiotics, NSAIDs, and vaccinate against HS.",,,,,,
Cattle,Bullock,Haryana,5.3,Adult,Male,Tuberculosis,4,False,1,8.0,15,"['Weight loss', 'Poor milk yield', 'Intermittent fever', 'Difficulty breathing', 'Chronic cough', 'Enlarged lymph nodes']",True,Farmer,Mycobacterium bovis,Regularly test cattle for tuberculosis and cull infected animals to prevent herd infection.,Ensure proper ventilation and hygiene in cattle housing to minimize disease spread.,Provide high-nutrition feed to maintain body condition.,Test and cull infected animals as there is no effective treatment; implement strict herd surveillance.,,,,,,
Goat,Common,Osmanabadi,7.9,Adult,Male,PPR,12,False,1,9.0,13,"['High fever', 'Mouth ulcers', 'Emaciation', 'Nasal discharge', 'Labored breathing', 'Diarrhea']",False,Farmer,Peste des Petits Ruminants virus,Vaccinate goats regularly and isolate infected animals promptly.,"Provide soft food, clean water, and stress-free housing.",Give herbal decoctions for appetite and oral rehydration solutions.,"Administer fluids to prevent dehydration, provide antibiotics for secondary infections, and vaccinate as part of disease management.",,,,,,
Cattle,Cow,Rathi,5.3,Adult,Female,Heartwater,37,False,1,14.0,6,"['High fever', 'Seizures', 'Recumbency', 'Neurological signs', 'Respiratory distress']",True,Para-vet,Ehrlichia ruminantium (tick-borne),Implement tick control measures and avoid high-risk pastures.,Provide supportive fluids and maintain a stress-free environment.,Use herbal washes for tick control.,Administer tetracycline antibiotics promptly.,,,,,,
Cattle,Bullock,Deoni,4.1,Adult,Male,FMD,15,False,1,11.0,10,"['Weight loss', 'Reduced milk', 'Lameness', 'Blisters', 'Fever', 'Myocarditis']",False,Para-vet,FMD virus,Vaccinate regularly and avoid contact with infected animals.,Provide soft feed and ensure clean drinking water.,Apply turmeric paste on lesions and provide aloe vera for hydration.,"Administer NSAIDs for pain relief, provide fluids, and use antiseptic mouthwashes; vaccinate the herd.",,,,,,
Cattle,Bullock,Bachaur,5.7,Adult,Male,Tuberculosis,4,False,1,4.0,14,"['Weight loss', 'Poor milk yield', 'Intermittent fever', 'Difficulty breathing', 'Chronic cough', 'Enlarged lymph nodes']",True,Veterinarian,Mycobacterium bovis,Regularly test cattle for tuberculosis and cull infected animals to prevent herd infection.,Ensure proper ventilation and hygiene in cattle housing to minimize disease spread.,Provide high-nutrition feed to maintain body condition.,Test and cull infected animals as there is no effective treatment; implement strict herd surveillance.,,,,,,
Cattle,Bull,Ongole,1.2,Young,Male,Listeriosis,21,False,1,1.0,8,"['Circling', 'Fever', 'Anorexia', 'Depression', 'Complete facial paralysis', 'Head tilt']",False,Farmer,Listeria monocytogenes,Avoid feeding spoiled silage and maintain clean feeding areas.,Provide nutritional support and isolate the animal to prevent further stress.,Provide soft bedding and easily consumable food.,Administer high-dose penicillin along with fluids and supportive therapy.,,,,,,
Goat,Common,Osmanabadi,7.2,Adult,Female,Ketosis,28,False,1,1.0,14,"['Weight loss', 'Loss of appetite', 'Acetone breath', 'Inability to Stand', 'Anorexia', 'Neurological Signs']",True,Veterinarian,Energy imbalance during late pregnancy or early lactation,Balance dietary energy levels during late gestation and lactation.,Offer small frequent meals and reduce stress during recovery.,Provide jaggery water or molasses to increase energy intake.,Provide oral propylene glycol and administer IV glucose if necessary.,,,,,,
Goat,Common,Jamunapari,1.5,Young,Female,Brucellosis,19,True,3,9.0,17,"['AbortionS', 'Abortions', 'Reduced milk production', 'Infertility', 'Swollen joints in males', 'Retained placenta', 'Swelling of testicles (Orchitis)']",True,Veterinarian,Brucella melitensis/abortus,Vaccinate animals and prevent cross-contamination during breeding.,Isolate infected animals and practice herd-level biosecurity.,Maintain strict hygiene and avoid handling aborted material.,No treatment is available; control through vaccination and culling.,AbortionS,Retained placenta,Reduced milk production,Infertility,Swelling of testicles (Orchitis),
Goat,Common,Barbari,6.7,Adult,Male,Urinary Calculi,40,False,1,13.0,9,"['Depression', 'Straining to urinate', 'Distended abdomen', 'Abdominal pain']",False,Para-vet,Mineral imbalance (phosphorus/calcium) in diet,Balance dietary calcium and phosphorus to prevent stone formation.,Monitor urination and ensure constant access to clean water.,Add ammonium chloride to the feed to prevent recurrence.,Perform surgical removal or urinary catheterization and provide IV fluids.,,,,,,
Cattle,Bull,Amritmahal,3.2,Adult,Male,Acidosis,9,False,1,11.0,10,"['Dehydration', 'Inability to stand', 'Signs of shock', 'Cold extremities', 'Depression', 'Blindness']",False,Veterinarian,Excess grain feeding leading to rumen pH drop,Avoid excessive grain feeding and introduce dietary changes gradually.,Provide easily digestible feed and maintain hydration throughout recovery.,Provide baking soda solution orally to balance rumen pH.,"Administer IV fluids, oral sodium bicarbonate, and thiamine injections.",,,,,,
Goat,Common,Sirohi,2.4,Adult,Male,Anaplasmosis,27,False,1,2.0,14,"['Weight loss', 'Aggression', 'Fever', 'Anemia', 'Lethargy and Weakness', 'Unable to stand']",True,Farmer,Anaplasma ovis/marginale,Control ticks and avoid shared needles during injections.,Offer easily digestible feed and adequate hydration.,Apply neem-based tick repellents.,Administer oxytetracycline and provide supportive therapy.,,,,,,
Goat,Common,Marwari,6.4,Adult,Female,Helminthiasis,23,False,1,12.0,7,"['Weight loss', 'Inability to stand', 'Bottle Jaw', 'Diarrhea', 'Extreme Paleness', 'Poor growth']",True,Para-vet,Gastrointestinal worm infestation,Deworm animals regularly and avoid overgrazing pastures.,Provide nutritious feed to restore body condition.,Give neem leaf decoctions and implement rotational grazing.,Administer dewormers like albendazole or ivermectin according to veterinary dosage.,,,,,,
Cattle,Buffalo,Mehsana,5.3,Adult,Female,Anaplasmosis,27,False,1,6.0,9,"['Weight loss', 'Aggression', 'Fever', 'Anemia', 'Lethargy and Weakness', 'Unable to stand']",False,Para-vet,Anaplasma ovis/marginale,Control ticks and avoid shared needles during injections.,Offer easily digestible feed and adequate hydration.,Apply neem-based tick repellents.,Administer oxytetracycline and provide supportive therapy.,,,,,,
Cattle,Cow,Khillar,0.3,Calf,Female,Mastitis,17,False,1,11.0,11,"['Systemic illness', 'Fever', 'Painful milking', 'Painful udder', 'Hot udder', 'Abnormal milk']",False,Veterinarian,"Bacterial infection (Staph, Strep)",Maintain strict milking hygiene and disinfect equipment regularly.,Milk the affected udder gently and provide pain relief.,Apply warm compresses on the udder and turmeric paste for inflammation.,"Use intramammary antibiotics, NSAIDs, and maintain udder hygiene.",,,,,,
Cattle,Buffalo,Surti,1.8,Young,Female,Acidosis,9,False,1,6.0,11,"['Dehydration', 'Signs of shock', 'Cold extremities', 'Blindness', 'Depression', 'Diarrhea']",True,Para-vet,Excess grain feeding leading to rumen pH drop,Avoid excessive grain feeding and introduce dietary changes gradually.,Provide easily digestible feed and maintain hydration throughout recovery.,Provide baking soda solution orally to balance rumen pH.,"Administer IV fluids, oral sodium bicarbonate, and thiamine injections.",,,,,,
Cattle,Cow,Sunandini,5.0,Adult,Female,Tetanus,33,True,2,2.0,12,"['Inability to Eat or Drink', 'Convulsions', 'Lockjaw', 'Inability to Stand', 'Difficulty Breathing', 'Stiffness']",True,Para-vet,Clostridium tetani infection,Vaccinate animals and promptly clean all wounds.,"Keep the animal in a quiet, stress-free area.",Apply antiseptic dressing to wounds.,"Administer tetanus antitoxin, provide wound care, and use antibiotics.",Inability to Stand,Convulsions,Inability to Eat or Drink,Difficulty Breathing,,
Goat,Common,Osmanabadi,2.6,Adult,Female,PPR,12,False,1,14.0,6,"['High fever', 'Mouth ulcers', 'Nasal discharge', 'Anorexia', 'Labored breathing', 'Pneumonia']",False,Farmer,Peste des Petits Ruminants virus,Vaccinate goats regularly and isolate infected animals promptly.,"Provide soft food, clean water, and stress-free housing.",Give herbal decoctions for appetite and oral rehydration solutions.,"Administer fluids to prevent dehydration, provide antibiotics for secondary infections, and vaccinate as part of disease management.",,,,,,
Goat,Common,Jakhrana,1.5,Young,Male,Fascioliasis,24,False,1,13.0,6,"['Weight loss', 'Inability to stand', 'Anemia', 'Extreme Paleness', 'Profound Weakness', 'Bottle jaw']",False,Para-vet,Fasciola hepatica (liver fluke),Control access to snail-infested pastures and treat water sources.,Provide iron-rich feed and proper hydration.,Avoid grazing in marshy or waterlogged areas.,Administer triclabendazole or closantel for deworming.,,,,,,
Cattle,Cow,Hariana,3.1,Adult,Female,Listeriosis,21,False,1,12.0,9,"['Inability to stand', 'Circling', 'Anorexia', 'Depression', 'Complete facial paralysis', 'Head tilt']",True,Veterinarian,Listeria monocytogenes,Avoid feeding spoiled silage and maintain clean feeding areas.,Provide nutritional support and isolate the animal to prevent further stress.,Provide soft bedding and easily consumable food.,Administer high-dose penicillin along with fluids and supportive therapy.,,,,,,
Cattle,Bullock,Umblachery,2.3,Young,Male,Blackleg,5,False,1,4.0,6,"['Rapid deterioration', 'Inability to stand', 'Fever', 'Swollen limbs', 'Acute lameness', 'Crepitus']",False,Para-vet,Clostridium chauvoei,Vaccinate cattle regularly and avoid grazing in contaminated pastures.,"Keep affected cattle in clean, dry areas and minimize stress during recovery.",No home remedies; urgent veterinary intervention is needed.,Administer high doses of penicillin or oxytetracycline at the earliest stage and vaccinate to prevent further cases.,,,,,,
Cattle,Bullock,Mewati,7.4,Adult,Male,Blackleg,5,False,1,3.0,8,"['Rapid deterioration', 'Inability to stand', 'Fever', 'Swollen limbs', 'Crepitus', 'Acute lameness']",True,Farmer,Clostridium chauvoei,Vaccinate cattle regularly and avoid grazing in contaminated pastures.,"Keep affected cattle in clean, dry areas and minimize stress during recovery.",No home remedies; urgent veterinary intervention is needed.,Administer high doses of penicillin or oxytetracycline at the earliest stage and vaccinate to prevent further cases.,,,,,,
Cattle,Buffalo,Bhadawari,0.4,Calf,Female,Mastitis,17,True,2,6.0,8,"['Systemic illness', 'Fever', 'Painful milking', 'Painful udder', 'Swollen udder', 'Hot udder']",True,Veterinarian,"Bacterial infection (Staph, Strep)",Maintain strict milking hygiene and disinfect equipment regularly.,Milk the affected udder gently and provide pain relief.,Apply warm compresses on the udder and turmeric paste for inflammation.,"Use intramammary antibiotics, NSAIDs, and maintain udder hygiene.",Systemic illness,Hot udder,Painful udder,,,
Goat,Common,Jamunapari,7.4,Adult,Female,PPR,12,False,1,3.0,13,"['High fever', 'Emaciation', 'Mouth ulcers', 'Nasal discharge', 'Anorexia', 'Labored breathing']",True,Farmer,Peste des Petits Ruminants virus,Vaccinate goats regularly and isolate infected animals promptly.,"Provide soft food, clean water, and stress-free housing.",Give herbal decoctions for appetite and oral rehydration solutions.,"Administer fluids to prevent dehydration, provide antibiotics for secondary infections, and vaccinate as part of disease management.",,,,,,
Cattle,Bullock,Red Sindhi,6.8,Adult,Male,Copper Deficiency,30,False,1,9.0,6,"['Neurological Signs', 'Poor coat quality', 'Anemia', 'Reproductive issues']",True,Farmer,Insufficient dietary copper or excess molybdenum,Balance mineral supplementation and avoid overuse of molybdenum-containing feeds.,Monitor hair coat quality and reproductive health post-treatment.,Offer mineral blocks containing copper.,Provide copper sulfate supplements as per veterinary dosage.,,,,,,
Goat,Common,Osmanabadi,7.2,Adult,Female,CAE,32,False,1,10.0,6,"['Seizures', 'Loss of Consciousness', 'Lameness', 'Inability to Stand', 'Paralysis', 'Joint swelling']",False,Farmer,Caprine arthritis encephalitis virus,Test herds regularly and isolate infected animals.,Provide joint support and ensure pain management.,Provide soft bedding and easy-to-eat food.,No cure is available; provide supportive care and prevent spread through kid isolation and pasteurized milk feeding.,,,,,,
